epoch, lr, avg_loss, model_score
Epoch 1, 0.00010000, 4.28309488, NA
Epoch 2, 0.00009992, 3.03088856, NA
Epoch 3, 0.00009931, 2.61161089, NA
Epoch 4, 0.00009811, 2.16755962, NA
Epoch 5, 0.00009632, 1.87495005, -0.000557
Epoch 6, 0.00009396, 1.67690229, NA
Epoch 7, 0.00009108, 1.52317953, NA
Epoch 8, 0.00008770, 1.39695263, NA
Epoch 9, 0.00008386, 1.28550136, NA
Epoch 10, 0.00007961, 1.18886840, -0.000352
Epoch 11, 0.00007500, 1.09506202, NA
Epoch 12, 0.00007009, 1.00622976, NA
Epoch 13, 0.00006493, 0.92680925, NA
Epoch 14, 0.00005959, 0.85440934, NA
Epoch 15, 0.00005414, 0.79895353, -0.000310
Epoch 16, 0.00004864, 0.73095453, NA
Epoch 17, 0.00004316, 0.67067593, NA
Epoch 18, 0.00003776, 0.61546224, NA
Epoch 19, 0.00003251, 0.57560223, NA
Epoch 20, 0.00002747, 0.52637422, -0.000287
Epoch 21, 0.00002270, 0.49754325, NA
Epoch 22, 0.00001827, 0.46316573, NA
Epoch 23, 0.00001422, 0.43451548, NA
Epoch 24, 0.00001061, 0.40602219, NA
Epoch 25, 0.00000748, 0.39161342, -0.000263
Epoch 26, 0.00000486, 0.37308574, NA
Epoch 27, 0.00000280, 0.36606228, NA
Epoch 28, 0.00000130, 0.35584983, NA
Epoch 29, 0.00000040, 0.35207796, NA
Epoch 30, 0.00000010, 0.34978825, -0.000263
