epoch, lr, avg_loss, model_score
Epoch 1, 0.00010000, 2776.32031250, 2.252462
Epoch 2, 0.00010000, 1286.92761230, 1.719208
Epoch 3, 0.00010000, 1919.34899902, 2.833836
Epoch 4, 0.00010000, 2106.08227539, 2.499141
Epoch 5, 0.00010000, 1903.11718750, 2.363962
Epoch 6, 0.00010000, 1409.48388672, 1.750802
Epoch 7, 0.00010000, 1774.60046387, 2.243636
Epoch 8, 0.00010000, 1660.09521484, 2.238347
Epoch 9, 0.00010000, 1622.68469238, 2.151438
Epoch 10, 0.00009999, 1889.58801270, 2.571205
Epoch 11, 0.00009997, 2190.49951172, 2.892033
Epoch 12, 0.00009994, 2545.72021484, 3.396287
Epoch 13, 0.00009989, 2193.49218750, 3.018510
Epoch 14, 0.00009983, 2501.29028320, 3.582878
Epoch 15, 0.00009976, 1834.05212402, 2.521959
Epoch 16, 0.00009967, 1967.29760742, 2.699539
Epoch 17, 0.00009957, 1940.30834961, 2.791931
Epoch 18, 0.00009945, 2009.03088379, 2.950850
Epoch 19, 0.00009932, 1901.59338379, 2.896269
Epoch 20, 0.00009918, 2232.42041016, 3.295371
Epoch 21, 0.00009903, 2219.48022461, 3.236462
Epoch 22, 0.00009886, 2259.08056641, 3.316511
Epoch 23, 0.00009868, 2661.44799805, 3.712520
Epoch 24, 0.00009849, 2612.59936523, 3.642663
Epoch 25, 0.00009828, 2340.43994141, 3.549218
Epoch 26, 0.00009806, 2069.43286133, 3.145771
Epoch 27, 0.00009782, 2179.67016602, 3.220544
Epoch 28, 0.00009758, 2255.74340820, 3.281014
Epoch 29, 0.00009732, 1902.61962891, 2.823427
Epoch 30, 0.00009705, 2284.64648438, 3.285521
Epoch 31, 0.00009676, 2476.36376953, 3.597764
Epoch 32, 0.00009646, 2115.02539062, 3.160812
Epoch 33, 0.00009615, 2400.04882812, 3.521958
Epoch 34, 0.00009583, 2302.88647461, 3.170883
Epoch 35, 0.00009550, 2514.02514648, 3.609070
Epoch 36, 0.00009515, 2456.05078125, 3.573428
Epoch 37, 0.00009479, 2397.13281250, 3.366663
Epoch 38, 0.00009442, 2605.22656250, 3.607100
Epoch 39, 0.00009403, 2292.31445312, 3.414161
Epoch 40, 0.00009364, 2015.57971191, 2.932504
Epoch 41, 0.00009323, 2425.68334961, 3.743187
Epoch 42, 0.00009281, 2504.30810547, 3.673615
Epoch 43, 0.00009238, 2441.89331055, 3.493902
Epoch 44, 0.00009194, 2615.27148438, 3.736493
Epoch 45, 0.00009149, 2553.39868164, 3.581316
Epoch 46, 0.00009102, 2452.72216797, 3.479497
Epoch 47, 0.00009055, 2529.07617188, 3.626562
Epoch 48, 0.00009006, 2260.75585938, 3.277611
Epoch 49, 0.00008956, 2526.88085938, 3.614800
Epoch 50, 0.00008905, 2185.30834961, 3.226858
Epoch 51, 0.00008854, 2446.12329102, 3.582028
Epoch 52, 0.00008801, 2316.08325195, 3.769323
Epoch 53, 0.00008747, 2397.30371094, 3.598726
Epoch 54, 0.00008692, 2464.29150391, 3.692150
Epoch 55, 0.00008636, 2411.66601562, 3.490562
Epoch 56, 0.00008579, 2539.64770508, 3.622853
Epoch 57, 0.00008521, 2442.02856445, 3.612152
Epoch 58, 0.00008462, 2418.15405273, 3.627511
Epoch 59, 0.00008403, 2639.51367188, 3.865358
Epoch 60, 0.00008342, 2492.08032227, 3.731833
Epoch 61, 0.00008280, 2715.08642578, 3.698403
Epoch 62, 0.00008218, 2392.90429688, 3.272194
Epoch 63, 0.00008155, 2354.76953125, 3.368821
Epoch 64, 0.00008090, 2933.74707031, 4.117196
Epoch 65, 0.00008025, 2740.40551758, 3.895182
