epoch, lr, avg_loss, model_score
Epoch 1, 0.00010000, 9.50498772, 0.085555
Epoch 2, 0.00010000, 10.73917484, 0.330478
Epoch 3, 0.00010000, 21.51032639, 0.090135
Epoch 4, 0.00010000, 8.75683784, 0.076054
Epoch 5, 0.00009997, 10.23491096, 0.093872
Epoch 6, 0.00009989, 7.20344257, 0.060686
Epoch 7, 0.00009976, 9.49425030, 0.071691
Epoch 8, 0.00009957, 21.40819168, 0.139670
Epoch 9, 0.00009932, 9.99320602, 0.218632
Epoch 10, 0.00009903, 18.15822220, 0.235490
Epoch 11, 0.00009868, 12.30410767, 0.230179
Epoch 12, 0.00009828, 9.51189804, 0.307731
Epoch 13, 0.00009782, 8.63421345, 0.294708
Epoch 14, 0.00009732, 5.49137354, 0.328769
Epoch 15, 0.00009676, 6.52307034, 0.346025
Epoch 16, 0.00009615, 10.31988049, 0.370889
Epoch 17, 0.00009550, 11.91570377, 0.332154
Epoch 18, 0.00009479, 9.94141865, 0.313396
Epoch 19, 0.00009403, 6.57550383, 0.280853
Epoch 20, 0.00009323, 7.96256018, 0.406196
Epoch 21, 0.00009238, 9.98668575, 0.405688
Epoch 22, 0.00009149, 8.28017521, 0.410918
Epoch 23, 0.00009055, 4.38001394, 0.450107
Epoch 24, 0.00008956, 8.07666206, 0.408270
Epoch 25, 0.00008854, 8.15219688, 0.351986
Epoch 26, 0.00008747, 13.21284580, 0.399111
Epoch 27, 0.00008636, 8.12959003, 0.426068
Epoch 28, 0.00008521, 4.64082575, 0.378539
Epoch 29, 0.00008403, 5.72839880, 0.393874
Epoch 30, 0.00008280, 8.70699501, 0.415619
Epoch 31, 0.00008155, 7.35652399, 0.443955
Epoch 32, 0.00008025, 7.42218542, 0.543186
Epoch 33, 0.00007893, 9.08682919, 0.454907
Epoch 34, 0.00007757, 7.89827776, 0.476478
Epoch 35, 0.00007619, 7.49915695, 0.439519
Epoch 36, 0.00007478, 6.72205830, 0.517973
Epoch 37, 0.00007334, 10.40795326, 0.430772
Epoch 38, 0.00007187, 4.95505619, 0.467558
Epoch 39, 0.00007038, 7.74528694, 0.505885
Epoch 40, 0.00006887, 7.25836706, 0.531591
Epoch 41, 0.00006734, 4.66773939, 0.499548
Epoch 42, 0.00006580, 6.40991592, 0.521561
Epoch 43, 0.00006423, 7.25294542, 0.451448
Epoch 44, 0.00006265, 8.33447838, 0.500603
Epoch 45, 0.00006106, 10.69222450, 0.481546
Epoch 46, 0.00005945, 5.54339886, 0.515613
Epoch 47, 0.00005784, 5.86018133, 0.506754
Epoch 48, 0.00005622, 7.40511036, 0.484809
Epoch 49, 0.00005459, 9.35253525, 0.526360
Epoch 50, 0.00005295, 5.76370525, 0.473993
Epoch 51, 0.00005132, 9.01510334, 0.555030
Epoch 52, 0.00004968, 7.51643276, 0.572739
Epoch 53, 0.00004805, 9.06583595, 0.429958
Epoch 54, 0.00004641, 6.58014727, 0.528617
Epoch 55, 0.00004478, 5.71937943, 0.513068
Epoch 56, 0.00004316, 8.33516884, 0.555914
Epoch 57, 0.00004155, 7.72763300, 0.524019
Epoch 58, 0.00003994, 6.74110317, 0.478229
Epoch 59, 0.00003835, 8.69143677, 0.507446
Epoch 60, 0.00003677, 16.13362503, 0.562431
Epoch 61, 0.00003520, 7.96798468, 0.504931
Epoch 62, 0.00003366, 6.20087004, 0.448754
Epoch 63, 0.00003213, 7.65245104, 0.505723
Epoch 64, 0.00003062, 6.30553770, 0.486372
Epoch 65, 0.00002913, 6.99537468, 0.587560
Epoch 66, 0.00002766, 7.72204971, 0.518167
Epoch 67, 0.00002622, 6.58420944, 0.488823
Epoch 68, 0.00002481, 8.45258999, 0.598908
Epoch 69, 0.00002343, 8.11219215, 0.536516
Epoch 70, 0.00002207, 9.19768333, 0.575109
Epoch 71, 0.00002075, 6.47344494, 0.513350
Epoch 72, 0.00001945, 6.10187340, 0.555860
Epoch 73, 0.00001820, 4.17202902, 0.484290
Epoch 74, 0.00001697, 5.98392534, 0.484298
Epoch 75, 0.00001579, 7.00247097, 0.541098
Epoch 76, 0.00001464, 7.99982214, 0.542153
Epoch 77, 0.00001353, 5.60402918, 0.555367
Epoch 78, 0.00001246, 7.04630470, 0.513960
Epoch 79, 0.00001144, 7.47665787, 0.515039
Epoch 80, 0.00001045, 5.45687819, 0.547868
Epoch 81, 0.00000951, 4.92180920, 0.538863
Epoch 82, 0.00000862, 6.74679708, 0.536504
Epoch 83, 0.00000777, 8.88367081, 0.531081
Epoch 84, 0.00000697, 6.63505554, 0.509087
Epoch 85, 0.00000621, 7.54420137, 0.530915
Epoch 86, 0.00000550, 8.56326675, 0.505545
Epoch 87, 0.00000485, 7.86951733, 0.560717
Epoch 88, 0.00000424, 6.75835609, 0.553767
Epoch 89, 0.00000368, 9.76883602, 0.578756
Epoch 90, 0.00000318, 8.57220268, 0.504349
Epoch 91, 0.00000272, 6.55095100, 0.496179
Epoch 92, 0.00000232, 7.23319769, 0.576476
Epoch 93, 0.00000197, 6.38500261, 0.583069
Epoch 94, 0.00000168, 9.73931217, 0.520717
Epoch 95, 0.00000143, 7.67056513, 0.489681
Epoch 96, 0.00000124, 7.66330433, 0.549309
Epoch 97, 0.00000111, 8.09223747, 0.539177
Epoch 98, 0.00000103, 7.42453289, 0.513847
Epoch 99, 0.00000100, 7.90046072, 0.538782
Epoch 100, 0.00000103, 6.62140751, 0.533653
