epoch, lr, avg_loss, model_score
Epoch 1, 0.00010000, 25.54135513, 0.225630
Epoch 2, 0.00010000, 22.73223495, 0.360305
Epoch 3, 0.00010000, 40.93776321, 0.112890
Epoch 4, 0.00010000, 29.90268517, 0.077629
Epoch 5, 0.00010000, 37.96656799, 0.113978
Epoch 6, 0.00010000, 89.25106812, 0.231159
Epoch 7, 0.00010000, 104.14465332, 0.213662
Epoch 8, 0.00010000, 103.56004333, 0.233394
Epoch 9, 0.00010000, 63.62108612, 0.297438
Epoch 10, 0.00009999, 29.27779770, 0.254176
Epoch 11, 0.00009997, 22.38952065, 0.241989
Epoch 12, 0.00009994, 38.31412888, 0.212769
Epoch 13, 0.00009989, 30.43545341, 0.172643
Epoch 14, 0.00009983, 45.97608566, 0.267518
Epoch 15, 0.00009976, 14.97997379, 0.255403
Epoch 16, 0.00009967, 21.18535423, 0.307448
Epoch 17, 0.00009957, 26.20213509, 0.349683
Epoch 18, 0.00009945, 13.78017139, 0.373529
Epoch 19, 0.00009932, 22.50875473, 0.440171
Epoch 20, 0.00009918, 19.00910378, 0.409195
Epoch 21, 0.00009903, 61.24177551, 0.340035
Epoch 22, 0.00009886, 46.33005905, 0.330469
Epoch 23, 0.00009868, 52.23325729, 0.385262
Epoch 24, 0.00009849, 35.53295517, 0.365818
Epoch 25, 0.00009828, 20.78715324, 0.464449
Epoch 26, 0.00009806, 24.63382339, 0.481082
Epoch 27, 0.00009782, 23.90704536, 0.499585
Epoch 28, 0.00009758, 27.99252701, 0.474661
Epoch 29, 0.00009732, 25.93349075, 0.526899
Epoch 30, 0.00009705, 26.49623680, 0.510474
Epoch 31, 0.00009676, 19.82054520, 0.587534
Epoch 32, 0.00009646, 24.68307495, 0.594427
Epoch 33, 0.00009615, 33.16305923, 0.498547
Epoch 34, 0.00009583, 23.31693268, 0.505001
Epoch 35, 0.00009550, 35.77453232, 0.546601
Epoch 36, 0.00009515, 36.58444977, 0.517265
Epoch 37, 0.00009479, 25.21783829, 0.488447
Epoch 38, 0.00009442, 24.96792030, 0.561608
Epoch 39, 0.00009403, 24.14525604, 0.413859
Epoch 40, 0.00009364, 32.04795456, 0.495220
Epoch 41, 0.00009323, 37.26592255, 0.443394
Epoch 42, 0.00009281, 19.35122108, 0.486604
Epoch 43, 0.00009238, 22.62592316, 0.566103
Epoch 44, 0.00009194, 18.08859825, 0.478867
Epoch 45, 0.00009149, 26.89023399, 0.546817
Epoch 46, 0.00009102, 35.59771347, 0.572825
Epoch 47, 0.00009055, 18.10157776, 0.598424
Epoch 48, 0.00009006, 28.62532234, 0.536688
Epoch 49, 0.00008956, 20.57203102, 0.586930
Epoch 50, 0.00008905, 22.08588028, 0.494579
Epoch 51, 0.00008854, 27.30696297, 0.535915
Epoch 52, 0.00008801, 48.88280487, 0.531911
Epoch 53, 0.00008747, 18.53000259, 0.591104
Epoch 54, 0.00008692, 16.62643433, 0.449221
Epoch 55, 0.00008636, 22.56469345, 0.608155
Epoch 56, 0.00008579, 20.85932350, 0.529626
Epoch 57, 0.00008521, 14.47775555, 0.625171
Epoch 58, 0.00008462, 19.25439835, 0.627391
Epoch 59, 0.00008403, 11.14453125, 0.582088
Epoch 60, 0.00008342, 18.81142616, 0.526492
Epoch 61, 0.00008280, 17.29666138, 0.594271
Epoch 62, 0.00008218, 16.36001396, 0.518402
Epoch 63, 0.00008155, 17.73645020, 0.517753
Epoch 64, 0.00008090, 34.35911942, 0.573480
Epoch 65, 0.00008025, 15.53138447, 0.559220
Epoch 66, 0.00007960, 18.76061440, 0.581661
Epoch 67, 0.00007893, 24.18918228, 0.546077
Epoch 68, 0.00007826, 21.64680481, 0.719255
Epoch 69, 0.00007757, 12.89437771, 0.539920
Epoch 70, 0.00007689, 23.02239227, 0.609363
Epoch 71, 0.00007619, 28.36103249, 0.617183
Epoch 72, 0.00007549, 22.37163353, 0.554352
Epoch 73, 0.00007478, 20.07535553, 0.577719
Epoch 74, 0.00007406, 23.13527107, 0.605300
Epoch 75, 0.00007334, 36.97242355, 0.622487
Epoch 76, 0.00007261, 25.92240334, 0.597565
Epoch 77, 0.00007187, 18.85026550, 0.624110
Epoch 78, 0.00007113, 25.46685791, 0.583953
Epoch 79, 0.00007038, 15.21647739, 0.577138
Epoch 80, 0.00006963, 24.64985275, 0.666235
Epoch 81, 0.00006887, 8.83241272, 0.586190
Epoch 82, 0.00006811, 16.66171074, 0.649099
Epoch 83, 0.00006734, 19.43728065, 0.643099
Epoch 84, 0.00006657, 35.95148087, 0.565970
Epoch 85, 0.00006580, 16.53189087, 0.600233
Epoch 86, 0.00006502, 21.76089668, 0.633356
Epoch 87, 0.00006423, 13.21688652, 0.493367
Epoch 88, 0.00006344, 22.08178902, 0.591865
Epoch 89, 0.00006265, 15.04206371, 0.655600
Epoch 90, 0.00006186, 24.38046074, 0.648663
Epoch 91, 0.00006106, 14.11677170, 0.600885
Epoch 92, 0.00006026, 22.14975929, 0.602466
Epoch 93, 0.00005945, 19.61219978, 0.650591
Epoch 94, 0.00005865, 21.67289734, 0.665435
Epoch 95, 0.00005784, 23.84754562, 0.684961
Epoch 96, 0.00005703, 20.47119522, 0.694822
Epoch 97, 0.00005622, 22.91271782, 0.557035
Epoch 98, 0.00005540, 18.20479202, 0.641859
Epoch 99, 0.00005459, 19.23645401, 0.668604
Epoch 100, 0.00005377, 14.99846745, 0.606543
Epoch 101, 0.00005295, 15.48589897, 0.639238
Epoch 102, 0.00005214, 27.86906815, 0.621038
Epoch 103, 0.00005132, 28.01216507, 0.671095
Epoch 104, 0.00005050, 39.33643341, 0.599473
Epoch 105, 0.00004968, 22.02596664, 0.683818
Epoch 106, 0.00004886, 26.85624313, 0.728993
Epoch 107, 0.00004805, 20.05843163, 0.663453
Epoch 108, 0.00004723, 12.37919044, 0.634779
Epoch 109, 0.00004641, 22.10047150, 0.642066
Epoch 110, 0.00004560, 33.46140289, 0.700859
Epoch 111, 0.00004478, 20.37623978, 0.611423
Epoch 112, 0.00004397, 27.87927437, 0.642442
Epoch 113, 0.00004316, 15.08562756, 0.674887
Epoch 114, 0.00004235, 18.95764351, 0.590423
